id,file,algo,protocol,arch,opcode_count,nodes,edges,entropy
349,sample_0349_arm.bin,RC4-CBC,WiFi,arm,179,19,21,5.2
350,sample_0350_z80.bin,GCM,DTLS,z80,172,16,20,7.88
351,sample_0351_risc.bin,ECDSA,DTLS,risc,66,17,17,7.67
352,sample_0352_x86.bin,Blowfish-ECB,Bluetooth,x86,161,15,18,0.73
353,sample_0353_arm.bin,Blowfish-ECB,WiFi,arm,153,18,14,5.86
354,sample_0354_risc.bin,HMAC,WiFi,risc,90,12,20,1.38
355,sample_0355_mips.bin,IDEA-ECB,Bluetooth,mips,90,12,9,3.9
356,sample_0356_risc.bin,DES-CBC,TLS,risc,86,14,25,0.75
357,sample_0357_avr.bin,3DES-ECB,WiFi,avr,140,7,19,2.88
358,sample_0358_riscv.bin,3DES-ECB,SSH,riscv,90,11,19,3.21
359,sample_0359_z80.bin,RC4-CBC,TLS,z80,106,18,19,5.27
360,sample_0360_arm.bin,3DES-ECB,DTLS,arm,91,14,15,6.71
361,sample_0361_avr.bin,CAST-CBC,SSH,avr,61,6,13,3.4
362,sample_0362_avr.bin,GCM,SSH,avr,55,11,12,1.57
363,sample_0363_z80.bin,GCM,SSH,z80,81,11,8,7.52
364,sample_0364_z80.bin,IDEA-CBC,Bluetooth,z80,198,8,17,2.65
365,sample_0365_risc.bin,Twofish-ECB,DTLS,risc,199,9,23,7.8
366,sample_0366_z80.bin,DES-CBC,WiFi,z80,136,18,9,6.23
367,sample_0367_arm.bin,IDEA-ECB,WiFi,arm,173,17,8,0.9
368,sample_0368_z80.bin,CHACHA20,TLS,z80,154,14,22,1.43
369,sample_0369_riscv.bin,HMAC,Bluetooth,riscv,93,19,17,5.74
370,sample_0370_riscv.bin,Twofish-ECB,Bluetooth,riscv,182,6,16,4.6
371,sample_0371_avr.bin,ECDHE,SSH,avr,146,15,15,4.63
372,sample_0372_arm.bin,RC4-CBC,SSH,arm,97,14,21,5.21
373,sample_0373_mips.bin,Twofish-ECB,DTLS,mips,189,19,25,6.37
374,sample_0374_risc.bin,SHA1,TLS,risc,173,20,7,5.41
375,sample_0375_risc.bin,DES-ECB,WiFi,risc,164,12,7,1.67
376,sample_0376_riscv.bin,RC4-CBC,Bluetooth,riscv,151,10,24,4.98
377,sample_0377_avr.bin,IDEA-ECB,SSH,avr,53,11,20,5.4
378,sample_0378_z80.bin,CAST-CBC,DTLS,z80,64,20,21,2.98
379,sample_0379_mips.bin,DES-ECB,TLS,mips,111,5,13,4.51
380,sample_0380_arm.bin,ECDSA,DTLS,arm,63,9,17,1.17
381,sample_0381_avr.bin,CHACHA20,DTLS,avr,151,5,14,7.62
382,sample_0382_mips.bin,AES-CBC,WiFi,mips,98,19,9,4.28
383,sample_0383_arm.bin,AES-CBC,Bluetooth,arm,174,7,9,0.25
384,sample_0384_x86.bin,ECDSA,DTLS,x86,85,13,18,2.69
385,sample_0385_x86.bin,HMAC,Bluetooth,x86,189,18,20,6.19
386,sample_0386_riscv.bin,DES-CBC,WiFi,riscv,157,8,17,3.1
387,sample_0387_mips.bin,SHA256,Bluetooth,mips,125,14,21,5.07
388,sample_0388_risc.bin,Blowfish-ECB,SSH,risc,140,9,7,7.45
389,sample_0389_arm.bin,Blowfish-CBC,TLS,arm,120,17,12,6.24
390,sample_0390_z80.bin,IDEA-ECB,Bluetooth,z80,134,18,14,7.3
391,sample_0391_avr.bin,Twofish-ECB,Bluetooth,avr,129,6,13,1.28
392,sample_0392_avr.bin,IDEA-CBC,DTLS,avr,95,8,12,7.04
393,sample_0393_arm.bin,SHA256,SSH,arm,191,6,22,3.12
394,sample_0394_z80.bin,Twofish-CBC,TLS,z80,189,20,16,5.17
395,sample_0395_arm.bin,Blowfish-CBC,Bluetooth,arm,167,12,25,4.0
396,sample_0396_avr.bin,ECDSA,SSH,avr,108,6,9,5.38
397,sample_0397_x86.bin,3DES-CBC,TLS,x86,145,12,10,3.15
398,sample_0398_riscv.bin,RC4-ECB,SSH,riscv,146,19,7,6.98
399,sample_0399_riscv.bin,AES-ECB,DTLS,riscv,74,7,10,2.18
400,sample_0400_mips.bin,DES-ECB,Bluetooth,mips,57,11,17,0.71
401,sample_0401_mips.bin,RSA,Bluetooth,mips,145,20,13,1.7
402,sample_0402_z80.bin,CHACHA20,DTLS,z80,80,7,7,2.25
403,sample_0403_z80.bin,IDEA-CBC,WiFi,z80,81,6,5,1.22
404,sample_0404_avr.bin,CHACHA20,Bluetooth,avr,108,13,18,4.86
405,sample_0405_mips.bin,3DES-CBC,DTLS,mips,119,14,21,5.92
406,sample_0406_z80.bin,HMAC,Bluetooth,z80,142,9,24,0.47
407,sample_0407_x86.bin,IDEA-CBC,WiFi,x86,176,18,6,5.52
408,sample_0408_avr.bin,Twofish-CBC,TLS,avr,176,15,19,0.42
409,sample_0409_risc.bin,ECDSA,Bluetooth,risc,71,17,16,1.73
410,sample_0410_x86.bin,RC4-ECB,TLS,x86,134,10,14,3.67
411,sample_0411_risc.bin,3DES-CBC,Bluetooth,risc,84,7,11,4.01
412,sample_0412_z80.bin,DES-CBC,TLS,z80,98,18,7,2.75
413,sample_0413_riscv.bin,ECDHE,Bluetooth,riscv,194,7,21,6.94
414,sample_0414_riscv.bin,HMAC,Bluetooth,riscv,146,7,13,6.03
415,sample_0415_z80.bin,Blowfish-ECB,TLS,z80,56,15,17,1.57
416,sample_0416_z80.bin,3DES-CBC,Bluetooth,z80,136,8,6,7.98
417,sample_0417_x86.bin,RC4-CBC,Bluetooth,x86,142,19,11,6.69
418,sample_0418_avr.bin,RC4-CBC,SSH,avr,56,14,5,1.21
419,sample_0419_riscv.bin,Blowfish-CBC,TLS,riscv,149,14,25,7.69
420,sample_0420_x86.bin,RC4-ECB,WiFi,x86,173,10,12,5.65
421,sample_0421_risc.bin,SHA1,TLS,risc,195,10,21,7.28
422,sample_0422_mips.bin,DES-ECB,Bluetooth,mips,53,11,8,1.96
423,sample_0423_x86.bin,CHACHA20,Bluetooth,x86,55,11,16,2.28
424,sample_0424_riscv.bin,ECDHE,DTLS,riscv,71,12,5,6.93
425,sample_0425_mips.bin,ECDSA,WiFi,mips,113,20,7,2.51
426,sample_0426_x86.bin,DES-CBC,WiFi,x86,55,14,5,3.1
427,sample_0427_mips.bin,SHA256,DTLS,mips,135,19,21,3.08
428,sample_0428_mips.bin,ECDSA,Bluetooth,mips,97,16,15,3.92
429,sample_0429_risc.bin,Blowfish-ECB,TLS,risc,163,15,8,1.21
430,sample_0430_z80.bin,RC4-CBC,WiFi,z80,165,19,18,5.89
431,sample_0431_avr.bin,RC4-ECB,Bluetooth,avr,61,6,25,7.76
432,sample_0432_x86.bin,SHA256,WiFi,x86,113,16,18,6.65
433,sample_0433_avr.bin,SHA1,TLS,avr,159,5,14,2.22
434,sample_0434_arm.bin,Blowfish-ECB,WiFi,arm,130,18,8,4.13
435,sample_0435_risc.bin,IDEA-ECB,Bluetooth,risc,198,14,22,0.58
436,sample_0436_avr.bin,SHA1,TLS,avr,124,14,11,4.09
437,sample_0437_risc.bin,RC4-CBC,TLS,risc,156,15,17,3.34
438,sample_0438_avr.bin,Twofish-CBC,DTLS,avr,190,16,12,0.1
439,sample_0439_z80.bin,SHA256,Bluetooth,z80,84,5,7,6.69
440,sample_0440_arm.bin,AES-CBC,TLS,arm,108,6,9,3.45
441,sample_0441_risc.bin,IDEA-CBC,WiFi,risc,194,14,20,1.23
442,sample_0442_riscv.bin,CHACHA20,SSH,riscv,114,10,7,3.68
443,sample_0443_mips.bin,DES-CBC,SSH,mips,197,11,6,5.5
444,sample_0444_mips.bin,3DES-CBC,TLS,mips,61,15,15,7.36
445,sample_0445_risc.bin,ECDHE,DTLS,risc,111,12,25,7.55
446,sample_0446_z80.bin,DES-CBC,WiFi,z80,124,20,8,4.33
447,sample_0447_arm.bin,CAST-ECB,WiFi,arm,167,15,15,6.65
448,sample_0448_z80.bin,ECDSA,TLS,z80,183,5,13,3.83
449,sample_0449_mips.bin,Twofish-CBC,TLS,mips,59,12,24,0.24
450,sample_0450_mips.bin,RSA,TLS,mips,190,17,6,3.09
451,sample_0451_arm.bin,DES-ECB,Bluetooth,arm,82,20,14,2.1
452,sample_0452_arm.bin,GCM,SSH,arm,51,6,5,4.66
453,sample_0453_arm.bin,DES-ECB,DTLS,arm,183,8,24,5.32
454,sample_0454_arm.bin,CAST-CBC,Bluetooth,arm,67,18,6,5.46
455,sample_0455_x86.bin,CAST-CBC,Bluetooth,x86,138,10,25,0.49
456,sample_0456_risc.bin,DES-CBC,TLS,risc,152,6,21,0.33
457,sample_0457_z80.bin,AES-CBC,WiFi,z80,79,8,15,0.18
458,sample_0458_x86.bin,Twofish-CBC,WiFi,x86,135,6,23,6.4
459,sample_0459_avr.bin,DES-ECB,WiFi,avr,99,12,20,1.95
460,sample_0460_riscv.bin,Twofish-ECB,DTLS,riscv,116,9,13,5.56
461,sample_0461_x86.bin,IDEA-CBC,Bluetooth,x86,139,18,14,5.85
462,sample_0462_z80.bin,Twofish-CBC,DTLS,z80,132,20,12,7.84
463,sample_0463_avr.bin,GCM,TLS,avr,172,14,20,0.22
464,sample_0464_x86.bin,RC4-CBC,SSH,x86,105,5,17,1.03
465,sample_0465_riscv.bin,CHACHA20,TLS,riscv,170,10,15,4.19
466,sample_0466_riscv.bin,AES-CBC,WiFi,riscv,119,18,9,6.67
467,sample_0467_x86.bin,HMAC,WiFi,x86,193,20,8,1.05
468,sample_0468_z80.bin,RC4-CBC,TLS,z80,63,9,11,6.21
469,sample_0469_arm.bin,3DES-ECB,DTLS,arm,195,11,19,7.41
470,sample_0470_risc.bin,HMAC,WiFi,risc,70,13,25,4.95
471,sample_0471_riscv.bin,HMAC,Bluetooth,riscv,125,14,11,1.14
472,sample_0472_z80.bin,Twofish-ECB,SSH,z80,124,11,6,5.19
473,sample_0473_z80.bin,Twofish-CBC,DTLS,z80,173,8,22,7.96
474,sample_0474_risc.bin,RC4-ECB,WiFi,risc,108,5,5,4.44
475,sample_0475_arm.bin,AES-CBC,TLS,arm,69,12,8,4.55
476,sample_0476_mips.bin,SHA256,WiFi,mips,152,9,16,0.88
477,sample_0477_mips.bin,AES-CBC,DTLS,mips,102,17,8,0.21
478,sample_0478_risc.bin,AES-CBC,WiFi,risc,170,14,23,3.59
479,sample_0479_arm.bin,CAST-ECB,WiFi,arm,111,14,25,6.59
480,sample_0480_risc.bin,3DES-ECB,Bluetooth,risc,73,12,24,2.88
481,sample_0481_riscv.bin,3DES-CBC,WiFi,riscv,76,9,9,4.46
482,sample_0482_avr.bin,3DES-CBC,TLS,avr,139,6,14,0.43
483,sample_0483_avr.bin,IDEA-CBC,DTLS,avr,129,10,25,1.39
484,sample_0484_x86.bin,AES-CBC,SSH,x86,77,9,10,2.44
485,sample_0485_x86.bin,IDEA-ECB,WiFi,x86,158,17,23,4.24
486,sample_0486_riscv.bin,ECDHE,WiFi,riscv,190,13,23,6.16
487,sample_0487_x86.bin,Blowfish-CBC,Bluetooth,x86,91,6,22,3.97
488,sample_0488_risc.bin,DES-ECB,TLS,risc,80,6,6,3.85
489,sample_0489_arm.bin,IDEA-CBC,TLS,arm,178,18,20,0.25
490,sample_0490_mips.bin,RC4-ECB,WiFi,mips,103,6,15,2.03
491,sample_0491_risc.bin,CHACHA20,Bluetooth,risc,88,20,14,1.12
492,sample_0492_avr.bin,RC4-CBC,DTLS,avr,56,11,20,6.97
493,sample_0493_z80.bin,HMAC,TLS,z80,189,6,16,5.57
494,sample_0494_arm.bin,3DES-ECB,TLS,arm,158,8,24,2.24
495,sample_0495_risc.bin,CAST-ECB,SSH,risc,101,14,6,0.66
496,sample_0496_risc.bin,DES-ECB,Bluetooth,risc,57,15,9,5.74
497,sample_0497_x86.bin,IDEA-ECB,WiFi,x86,129,15,16,4.08
498,sample_0498_mips.bin,3DES-CBC,SSH,mips,51,11,25,4.89
499,sample_0499_arm.bin,IDEA-CBC,Bluetooth,arm,152,13,16,2.77
500,sample_0500_mips.bin,Blowfish-CBC,DTLS,mips,155,13,12,0.4
501,sample_0501_arm.bin,CHACHA20,Bluetooth,arm,191,12,5,4.33
502,sample_0502_x86.bin,Blowfish-ECB,SSH,x86,170,19,8,2.01
503,sample_0503_x86.bin,CAST-ECB,DTLS,x86,151,10,5,5.21
504,sample_0504_avr.bin,Blowfish-ECB,Bluetooth,avr,127,11,18,2.9
505,sample_0505_avr.bin,AES-CBC,SSH,avr,98,14,6,2.97
506,sample_0506_x86.bin,ECDHE,Bluetooth,x86,89,19,5,1.61
507,sample_0507_z80.bin,3DES-CBC,SSH,z80,51,7,19,5.41
508,sample_0508_risc.bin,SHA1,DTLS,risc,119,10,17,7.55
509,sample_0509_z80.bin,Twofish-ECB,DTLS,z80,147,15,10,3.15
510,sample_0510_z80.bin,3DES-CBC,Bluetooth,z80,183,8,18,4.81
511,sample_0511_x86.bin,Twofish-CBC,SSH,x86,75,14,16,2.06
512,sample_0512_z80.bin,DES-CBC,Bluetooth,z80,189,5,20,3.39
513,sample_0513_avr.bin,SHA1,SSH,avr,148,8,23,2.53
514,sample_0514_risc.bin,ECDSA,DTLS,risc,62,13,17,0.16
515,sample_0515_z80.bin,DES-CBC,SSH,z80,87,16,18,4.53
516,sample_0516_risc.bin,RSA,TLS,risc,114,19,12,5.95
517,sample_0517_riscv.bin,RSA,SSH,riscv,105,10,14,3.15
518,sample_0518_riscv.bin,RSA,WiFi,riscv,74,19,12,0.73
519,sample_0519_z80.bin,CHACHA20,Bluetooth,z80,50,14,21,6.63
520,sample_0520_mips.bin,RC4-CBC,Bluetooth,mips,66,12,17,5.06
521,sample_0521_riscv.bin,HMAC,DTLS,riscv,173,10,18,4.04
522,sample_0522_avr.bin,IDEA-CBC,TLS,avr,116,12,24,3.91
523,sample_0523_arm.bin,Twofish-ECB,SSH,arm,175,9,14,4.67
524,sample_0524_z80.bin,AES-ECB,SSH,z80,178,12,11,6.52
525,sample_0525_arm.bin,3DES-CBC,Bluetooth,arm,87,7,10,4.85
526,sample_0526_z80.bin,Blowfish-CBC,SSH,z80,182,8,16,3.44
527,sample_0527_arm.bin,AES-ECB,WiFi,arm,111,20,20,3.76
528,sample_0528_avr.bin,CAST-CBC,TLS,avr,117,8,6,3.63
529,sample_0529_arm.bin,DES-CBC,DTLS,arm,116,5,22,6.94
530,sample_0530_z80.bin,ECDHE,SSH,z80,117,12,24,0.56
531,sample_0531_x86.bin,IDEA-CBC,WiFi,x86,126,11,11,5.4
532,sample_0532_arm.bin,Blowfish-ECB,DTLS,arm,108,9,13,1.37
533,sample_0533_x86.bin,IDEA-CBC,WiFi,x86,168,19,20,7.95
534,sample_0534_x86.bin,3DES-ECB,WiFi,x86,157,15,18,2.12
535,sample_0535_x86.bin,Twofish-CBC,Bluetooth,x86,65,16,14,7.11
536,sample_0536_avr.bin,IDEA-CBC,WiFi,avr,169,8,21,7.92
537,sample_0537_riscv.bin,SHA1,DTLS,riscv,181,16,22,5.79
538,sample_0538_z80.bin,RSA,DTLS,z80,107,14,16,2.36
539,sample_0539_risc.bin,RSA,DTLS,risc,158,7,8,5.48
540,sample_0540_z80.bin,RC4-ECB,WiFi,z80,100,14,21,4.92
541,sample_0541_x86.bin,RSA,TLS,x86,108,15,6,5.43
542,sample_0542_avr.bin,3DES-CBC,SSH,avr,93,11,24,5.65
543,sample_0543_z80.bin,Twofish-CBC,DTLS,z80,125,19,23,5.7
544,sample_0544_avr.bin,HMAC,TLS,avr,174,10,15,1.56
545,sample_0545_avr.bin,CHACHA20,DTLS,avr,161,13,19,2.4
546,sample_0546_risc.bin,ECDSA,TLS,risc,51,15,21,4.02
547,sample_0547_avr.bin,HMAC,Bluetooth,avr,178,15,8,5.56
548,sample_0548_z80.bin,GCM,Bluetooth,z80,182,18,25,2.89
549,sample_0549_risc.bin,ECDSA,DTLS,risc,125,5,23,3.14
550,sample_0550_arm.bin,IDEA-ECB,WiFi,arm,171,15,10,1.83
551,sample_0551_risc.bin,RC4-ECB,DTLS,risc,200,8,6,2.28
552,sample_0552_arm.bin,Blowfish-CBC,SSH,arm,168,10,9,4.04
553,sample_0553_risc.bin,CHACHA20,WiFi,risc,118,12,15,0.78
554,sample_0554_risc.bin,Twofish-CBC,DTLS,risc,192,7,9,2.17
555,sample_0555_risc.bin,SHA1,TLS,risc,153,10,5,3.29
556,sample_0556_z80.bin,RSA,TLS,z80,176,20,8,1.91
557,sample_0557_mips.bin,Twofish-ECB,Bluetooth,mips,89,16,16,7.81
558,sample_0558_arm.bin,RSA,TLS,arm,158,20,7,5.35
559,sample_0559_avr.bin,Blowfish-CBC,SSH,avr,55,11,24,3.66
560,sample_0560_risc.bin,DES-ECB,Bluetooth,risc,148,20,5,3.0
561,sample_0561_mips.bin,SHA1,WiFi,mips,171,7,22,7.97
562,sample_0562_x86.bin,ECDSA,Bluetooth,x86,129,18,10,2.47
563,sample_0563_z80.bin,GCM,TLS,z80,75,14,18,5.1
564,sample_0564_riscv.bin,CAST-ECB,Bluetooth,riscv,155,13,7,5.56
565,sample_0565_risc.bin,AES-ECB,WiFi,risc,200,11,11,0.06
566,sample_0566_z80.bin,3DES-ECB,TLS,z80,103,13,7,7.27
567,sample_0567_avr.bin,IDEA-ECB,WiFi,avr,182,9,23,7.88
568,sample_0568_riscv.bin,IDEA-ECB,SSH,riscv,98,16,9,3.9
569,sample_0569_x86.bin,IDEA-ECB,DTLS,x86,139,19,20,0.7
570,sample_0570_riscv.bin,IDEA-CBC,DTLS,riscv,139,16,17,0.57
571,sample_0571_riscv.bin,SHA256,TLS,riscv,183,20,24,1.69
572,sample_0572_avr.bin,ECDSA,Bluetooth,avr,121,12,9,7.99
573,sample_0573_risc.bin,RC4-CBC,WiFi,risc,94,17,21,5.17
574,sample_0574_x86.bin,ECDSA,TLS,x86,83,13,18,0.72
575,sample_0575_x86.bin,ECDHE,TLS,x86,94,5,15,7.4
576,sample_0576_mips.bin,ECDSA,DTLS,mips,99,19,25,2.26
577,sample_0577_avr.bin,Blowfish-CBC,WiFi,avr,142,19,11,1.92
578,sample_0578_arm.bin,AES-ECB,SSH,arm,111,20,25,0.18
579,sample_0579_x86.bin,Twofish-CBC,Bluetooth,x86,51,10,17,3.53
580,sample_0580_z80.bin,AES-CBC,SSH,z80,148,20,14,5.56
581,sample_0581_z80.bin,3DES-ECB,TLS,z80,156,10,25,7.54
582,sample_0582_riscv.bin,CHACHA20,WiFi,riscv,168,8,13,2.67
583,sample_0583_mips.bin,DES-ECB,TLS,mips,158,17,21,6.33
584,sample_0584_risc.bin,HMAC,Bluetooth,risc,50,16,22,6.86
585,sample_0585_x86.bin,CAST-CBC,SSH,x86,149,7,5,3.0
586,sample_0586_arm.bin,ECDHE,DTLS,arm,163,10,11,0.8
587,sample_0587_avr.bin,HMAC,DTLS,avr,156,10,13,5.59
588,sample_0588_riscv.bin,Twofish-CBC,TLS,riscv,109,9,19,5.47
589,sample_0589_mips.bin,RC4-CBC,SSH,mips,63,20,5,4.21
590,sample_0590_risc.bin,SHA256,TLS,risc,100,9,16,3.06
591,sample_0591_risc.bin,HMAC,DTLS,risc,162,14,11,1.35
592,sample_0592_mips.bin,DES-ECB,Bluetooth,mips,73,6,24,4.66
593,sample_0593_x86.bin,CHACHA20,WiFi,x86,167,18,20,5.68
594,sample_0594_arm.bin,CAST-CBC,WiFi,arm,58,18,13,7.41
595,sample_0595_x86.bin,Blowfish-CBC,WiFi,x86,109,19,19,7.03
596,sample_0596_mips.bin,SHA256,Bluetooth,mips,190,11,10,6.31
597,sample_0597_avr.bin,RC4-CBC,SSH,avr,98,5,6,0.95
598,sample_0598_risc.bin,DES-ECB,SSH,risc,181,8,24,1.83
599,sample_0599_arm.bin,AES-ECB,WiFi,arm,84,19,11,2.15
600,sample_0600_z80.bin,DES-ECB,TLS,z80,59,15,7,0.55
601,sample_0601_risc.bin,RC4-CBC,TLS,risc,100,7,20,5.22
602,sample_0602_z80.bin,ECDHE,Bluetooth,z80,154,19,23,5.1
603,sample_0603_mips.bin,HMAC,WiFi,mips,61,12,5,3.23
604,sample_0604_arm.bin,Twofish-ECB,TLS,arm,176,15,20,4.82
605,sample_0605_riscv.bin,CAST-ECB,TLS,riscv,88,17,16,0.1
606,sample_0606_arm.bin,CAST-ECB,Bluetooth,arm,114,11,12,3.84
607,sample_0607_mips.bin,ECDHE,SSH,mips,169,7,18,7.68
608,sample_0608_x86.bin,AES-CBC,Bluetooth,x86,179,8,5,5.51
609,sample_0609_riscv.bin,RC4-CBC,TLS,riscv,138,11,14,3.4
610,sample_0610_riscv.bin,3DES-CBC,TLS,riscv,142,6,16,7.46
611,sample_0611_arm.bin,RC4-ECB,Bluetooth,arm,149,10,17,3.83
612,sample_0612_riscv.bin,HMAC,TLS,riscv,178,10,14,1.4
613,sample_0613_z80.bin,Twofish-ECB,DTLS,z80,141,10,25,1.05
614,sample_0614_risc.bin,CHACHA20,TLS,risc,90,7,16,5.19
615,sample_0615_riscv.bin,RC4-ECB,Bluetooth,riscv,198,11,17,7.45
616,sample_0616_z80.bin,RSA,DTLS,z80,189,8,8,6.47
617,sample_0617_mips.bin,Twofish-ECB,TLS,mips,175,18,13,5.05
618,sample_0618_riscv.bin,AES-ECB,SSH,riscv,73,12,12,5.65
619,sample_0619_riscv.bin,IDEA-ECB,TLS,riscv,186,18,25,7.61
620,sample_0620_x86.bin,SHA1,DTLS,x86,101,11,21,4.65
621,sample_0621_avr.bin,HMAC,Bluetooth,avr,56,8,16,3.22
622,sample_0622_mips.bin,SHA256,DTLS,mips,142,12,16,3.86
623,sample_0623_avr.bin,RC4-CBC,Bluetooth,avr,167,13,19,5.88
624,sample_0624_avr.bin,GCM,DTLS,avr,110,16,7,3.53
625,sample_0625_avr.bin,Blowfish-CBC,TLS,avr,53,11,25,6.74
626,sample_0626_mips.bin,ECDSA,WiFi,mips,70,8,12,6.4
627,sample_0627_x86.bin,GCM,DTLS,x86,84,16,5,6.69
628,sample_0628_z80.bin,HMAC,DTLS,z80,97,13,21,3.25
629,sample_0629_risc.bin,3DES-CBC,WiFi,risc,118,11,10,0.23
630,sample_0630_avr.bin,DES-CBC,DTLS,avr,103,15,17,7.88
631,sample_0631_avr.bin,Blowfish-ECB,WiFi,avr,177,8,22,3.14
632,sample_0632_z80.bin,DES-ECB,Bluetooth,z80,67,5,7,6.43
633,sample_0633_risc.bin,AES-CBC,WiFi,risc,108,7,24,0.45
634,sample_0634_mips.bin,CHACHA20,Bluetooth,mips,108,11,17,6.49
635,sample_0635_x86.bin,SHA1,DTLS,x86,87,10,18,5.47
636,sample_0636_mips.bin,3DES-CBC,Bluetooth,mips,171,11,10,3.73
637,sample_0637_z80.bin,3DES-ECB,SSH,z80,199,19,9,4.33
638,sample_0638_mips.bin,AES-CBC,TLS,mips,64,6,21,3.58
639,sample_0639_arm.bin,SHA256,WiFi,arm,159,14,12,1.66
640,sample_0640_risc.bin,DES-CBC,DTLS,risc,119,9,20,7.1
641,sample_0641_riscv.bin,Blowfish-CBC,TLS,riscv,183,18,17,5.58
642,sample_0642_avr.bin,GCM,Bluetooth,avr,179,16,16,2.37
643,sample_0643_mips.bin,ECDHE,DTLS,mips,113,12,5,5.69
644,sample_0644_risc.bin,RSA,DTLS,risc,73,5,16,5.46
645,sample_0645_riscv.bin,RSA,DTLS,riscv,180,14,13,6.22
646,sample_0646_z80.bin,ECDSA,WiFi,z80,140,7,24,2.92
647,sample_0647_mips.bin,IDEA-CBC,DTLS,mips,142,10,9,2.53
648,sample_0648_riscv.bin,RC4-ECB,SSH,riscv,182,15,10,3.31
649,sample_0649_x86.bin,SHA1,WiFi,x86,192,10,12,3.39
650,sample_0650_riscv.bin,RC4-ECB,TLS,riscv,196,7,12,5.84
651,sample_0651_x86.bin,RSA,SSH,x86,189,5,17,5.97
652,sample_0652_risc.bin,GCM,SSH,risc,177,12,8,3.18
653,sample_0653_risc.bin,3DES-CBC,DTLS,risc,126,8,21,0.25
654,sample_0654_arm.bin,RC4-ECB,WiFi,arm,91,16,11,6.48
655,sample_0655_arm.bin,IDEA-ECB,Bluetooth,arm,112,16,25,0.01
656,sample_0656_riscv.bin,Twofish-ECB,DTLS,riscv,141,9,8,1.81
657,sample_0657_mips.bin,CHACHA20,TLS,mips,189,12,7,3.27
658,sample_0658_mips.bin,SHA1,Bluetooth,mips,154,15,7,3.89
659,sample_0659_mips.bin,CAST-CBC,TLS,mips,79,20,21,4.78
660,sample_0660_x86.bin,SHA1,TLS,x86,177,6,17,4.49
661,sample_0661_riscv.bin,Twofish-ECB,DTLS,riscv,70,6,23,4.77
662,sample_0662_arm.bin,CHACHA20,Bluetooth,arm,171,7,16,4.41
663,sample_0663_avr.bin,IDEA-ECB,WiFi,avr,129,15,24,7.72
664,sample_0664_arm.bin,ECDSA,TLS,arm,175,15,18,0.13
665,sample_0665_mips.bin,AES-CBC,TLS,mips,190,10,23,0.96
666,sample_0666_avr.bin,SHA1,DTLS,avr,122,5,8,4.49
667,sample_0667_risc.bin,RC4-CBC,SSH,risc,188,20,7,4.21
668,sample_0668_riscv.bin,Blowfish-CBC,DTLS,riscv,172,15,21,6.6
669,sample_0669_risc.bin,3DES-CBC,SSH,risc,50,8,8,5.33
670,sample_0670_riscv.bin,HMAC,Bluetooth,riscv,183,16,19,7.37
671,sample_0671_x86.bin,CAST-ECB,DTLS,x86,50,17,12,7.15
672,sample_0672_z80.bin,AES-CBC,TLS,z80,191,10,19,7.39
673,sample_0673_mips.bin,SHA256,SSH,mips,153,17,12,1.42
674,sample_0674_riscv.bin,RC4-ECB,TLS,riscv,145,10,23,5.38
675,sample_0675_riscv.bin,AES-ECB,TLS,riscv,72,15,12,0.32
676,sample_0676_arm.bin,Blowfish-ECB,WiFi,arm,98,16,23,3.6
677,sample_0677_x86.bin,Twofish-CBC,Bluetooth,x86,160,15,24,5.02
678,sample_0678_avr.bin,CAST-ECB,SSH,avr,66,11,13,6.28
679,sample_0679_risc.bin,Twofish-CBC,WiFi,risc,196,20,22,4.03
680,sample_0680_riscv.bin,DES-CBC,DTLS,riscv,53,11,22,0.72
681,sample_0681_risc.bin,DES-CBC,SSH,risc,171,5,16,7.08
682,sample_0682_mips.bin,Blowfish-CBC,DTLS,mips,121,5,18,7.19
683,sample_0683_risc.bin,HMAC,SSH,risc,112,19,18,0.61
684,sample_0684_arm.bin,SHA1,SSH,arm,85,6,16,1.24
685,sample_0685_x86.bin,DES-ECB,DTLS,x86,143,8,19,6.23
686,sample_0686_z80.bin,CAST-ECB,DTLS,z80,110,11,20,5.0
687,sample_0687_risc.bin,AES-CBC,SSH,risc,89,14,25,7.04
688,sample_0688_x86.bin,IDEA-ECB,SSH,x86,144,19,12,6.44
689,sample_0689_avr.bin,GCM,DTLS,avr,68,9,9,6.58
690,sample_0690_z80.bin,Twofish-CBC,WiFi,z80,85,19,16,5.28
691,sample_0691_avr.bin,RC4-ECB,Bluetooth,avr,91,19,25,2.75
692,sample_0692_z80.bin,IDEA-ECB,TLS,z80,67,10,13,5.81
693,sample_0693_risc.bin,ECDHE,TLS,risc,164,20,22,7.32
694,sample_0694_mips.bin,3DES-ECB,TLS,mips,170,11,8,1.57
695,sample_0695_arm.bin,HMAC,DTLS,arm,118,10,17,5.16
696,sample_0696_riscv.bin,Twofish-CBC,WiFi,riscv,61,20,25,3.16
697,sample_0697_z80.bin,GCM,DTLS,z80,97,18,19,0.14
698,sample_0698_avr.bin,AES-CBC,WiFi,avr,76,14,6,4.58
699,sample_0699_x86.bin,Twofish-ECB,SSH,x86,111,7,15,3.25
700,sample_0700_risc.bin,SHA256,TLS,risc,81,7,16,2.68
701,sample_0701_riscv.bin,SHA1,WiFi,riscv,90,17,20,3.19
