sample_id,filename,architecture,primitives,crypto_protocols,length_bytes
s0778,s0778.hex,x86,"ChaCha20,ECDHE,SHA256","Bluetooth_LE,DTLS,TLS1.2",4164
s0779,s0779.hex,mips,"ChaCha20,ECDHE,HMAC","Bluetooth_LE,SSH,WPA2",576
s0780,s0780.hex,powerpc,"ChaCha20,ECDSA,GCM,SHA1",WPA2,2102
s0781,s0781.hex,x86_64,"AES,ChaCha20",SSH,4137
s0782,s0782.hex,arm,"AES,GCM,SHA1",SSH,2086
s0783,s0783.hex,arm64,"AES,GCM,HMAC,RSA",SSH,2092
s0784,s0784.hex,arm,"AES,GCM,HMAC","IPSec,TLS1.3,WPA2",308
s0785,s0785.hex,mips,"AES,ChaCha20,ECDSA,SHA256","Bluetooth_LE,IPSec,TLS1.2",2122
s0786,s0786.hex,powerpc,"GCM,SHA1","Bluetooth_LE,DTLS",2100
s0787,s0787.hex,arm64,"ECDSA,GCM,SHA1","TLS1.2,WPA2",4146
s0788,s0788.hex,powerpc,"AES,HMAC","Bluetooth_CLASSIC,IPSec",8250
s0789,s0789.hex,arm,"ECDHE,RSA,SHA1",Bluetooth_LE,561
s0790,s0790.hex,arm64,"AES,ChaCha20,ECDHE,ECDSA","Bluetooth_CLASSIC,SSH,TLS1.2",589
s0791,s0791.hex,x86,"AES,ECDHE,ECDSA,RSA","DTLS,TLS1.3,WPA3",2106
s0792,s0792.hex,powerpc,"AES,ChaCha20,RSA","SSH,TLS1.2",565
s0793,s0793.hex,powerpc,"AES,ECDHE,HMAC,SHA256",Bluetooth_CLASSIC,4161
s0794,s0794.hex,mips,"AES,ChaCha20,ECDHE","DTLS,IPSec,WPA2",313
s0795,s0795.hex,mips,"ChaCha20,SHA1",TLS1.2,8235
s0796,s0796.hex,mips,"ChaCha20,ECDSA","DTLS,IPSec,WPA3",309
s0797,s0797.hex,mips,"AES,ECDHE,GCM,HMAC","Bluetooth_CLASSIC,Bluetooth_LE,TLS1.2",4175
s0798,s0798.hex,x86,"AES,HMAC,RSA,SHA1","Bluetooth_LE,WPA2",313
s0799,s0799.hex,x86,"AES,ECDHE,SHA1","Bluetooth_CLASSIC,DTLS",8251
s0800,s0800.hex,x86,"ChaCha20,GCM","Bluetooth_CLASSIC,Bluetooth_LE,SSH",325
s0801,s0801.hex,x86_64,"AES,ChaCha20,GCM,RSA",SSH,8241
s0802,s0802.hex,arm64,"ChaCha20,ECDSA,RSA","Bluetooth_CLASSIC,DTLS,WPA2",4166
s0803,s0803.hex,x86,"AES,ECDHE,SHA1,SHA256","Bluetooth_LE,DTLS",317
s0804,s0804.hex,mips,"AES,GCM,HMAC,SHA1","Bluetooth_LE,TLS1.2,WPA3",2113
s0805,s0805.hex,x86,"AES,ECDHE,RSA","Bluetooth_LE,TLS1.2,TLS1.3",574
s0806,s0806.hex,powerpc,"ECDHE,ECDSA,GCM,SHA256",TLS1.3,4151
s0807,s0807.hex,mips,"ECDHE,GCM,RSA,SHA1","Bluetooth_LE,DTLS",315
s0808,s0808.hex,mips,"ECDSA,GCM,RSA","Bluetooth_CLASSIC,IPSec,WPA2",577
s0809,s0809.hex,arm64,"AES,GCM,HMAC,SHA256","Bluetooth_CLASSIC,IPSec,TLS1.3",4170
s0810,s0810.hex,x86_64,"AES,ECDSA,GCM,SHA256","Bluetooth_LE,WPA2",319
s0811,s0811.hex,mips,"AES,ECDSA,HMAC,RSA","IPSec,WPA2",564
s0812,s0812.hex,arm,"ChaCha20,ECDHE,RSA","Bluetooth_CLASSIC,IPSec,SSH",324
s0813,s0813.hex,x86_64,"ChaCha20,ECDSA,SHA1,SHA256","DTLS,SSH",4156
s0814,s0814.hex,x86_64,"ChaCha20,GCM,HMAC,RSA",WPA3,563
s0815,s0815.hex,x86,"AES,ECDSA,SHA1,SHA256",WPA2,560
s0816,s0816.hex,arm,"AES,ECDHE,GCM,HMAC","SSH,WPA2,WPA3",566
s0817,s0817.hex,x86,"AES,ChaCha20,HMAC","IPSec,SSH,TLS1.3",2104
s0818,s0818.hex,mips,"ECDSA,GCM","Bluetooth_LE,DTLS",306
s0819,s0819.hex,mips,"AES,GCM","SSH,TLS1.3",2089
s0820,s0820.hex,x86_64,"GCM,SHA1",IPSec,2087
s0821,s0821.hex,x86_64,"AES,ChaCha20,ECDSA,GCM",Bluetooth_CLASSIC,321
s0822,s0822.hex,arm64,"ECDSA,GCM,RSA,SHA256",SSH,304
s0823,s0823.hex,powerpc,"AES,SHA1","Bluetooth_CLASSIC,Bluetooth_LE,WPA2",326
s0824,s0824.hex,mips,"AES,RSA,SHA1,SHA256","Bluetooth_LE,DTLS,TLS1.3",2115
s0825,s0825.hex,powerpc,"AES,ECDHE,SHA1,SHA256","Bluetooth_LE,TLS1.2",8259
s0826,s0826.hex,powerpc,"ECDHE,ECDSA,HMAC,RSA","Bluetooth_CLASSIC,DTLS,TLS1.3",332
s0827,s0827.hex,arm64,"ECDHE,SHA1","SSH,TLS1.3",8237
s0828,s0828.hex,x86_64,"AES,ECDHE,GCM,RSA","Bluetooth_LE,SSH,TLS1.2",578
s0829,s0829.hex,powerpc,"AES,ECDHE,HMAC,SHA1","Bluetooth_CLASSIC,IPSec",8261
s0830,s0830.hex,arm64,"ECDHE,HMAC,SHA1,SHA256",TLS1.3,309
s0831,s0831.hex,x86,"AES,ChaCha20,ECDSA,SHA256","IPSec,TLS1.3,WPA2",577
s0832,s0832.hex,arm,"AES,ChaCha20","IPSec,TLS1.2,WPA2",2100
s0833,s0833.hex,x86_64,"ChaCha20,GCM,SHA1","IPSec,TLS1.3,WPA2",2108
s0834,s0834.hex,x86_64,"ChaCha20,ECDHE,GCM","IPSec,WPA2",566
s0835,s0835.hex,powerpc,"AES,ECDSA,HMAC","Bluetooth_LE,DTLS,SSH",574
s0836,s0836.hex,mips,"AES,HMAC,RSA","SSH,TLS1.2",302
s0837,s0837.hex,powerpc,"AES,ECDSA,RSA","Bluetooth_CLASSIC,Bluetooth_LE,WPA3",8267
s0838,s0838.hex,arm,"ECDHE,HMAC,SHA1,SHA256","SSH,TLS1.2,WPA3",316
s0839,s0839.hex,powerpc,"ECDHE,ECDSA,RSA","Bluetooth_CLASSIC,DTLS,SSH",324
s0840,s0840.hex,x86_64,"AES,ChaCha20,ECDHE,SHA1",TLS1.2,4151
s0841,s0841.hex,arm,"ChaCha20,SHA256","SSH,TLS1.3",304
s0842,s0842.hex,arm64,"AES,ECDHE,ECDSA,HMAC","Bluetooth_CLASSIC,DTLS,IPSec",2121
s0843,s0843.hex,mips,"AES,ECDSA,HMAC,SHA1",WPA2,4143
s0844,s0844.hex,powerpc,"AES,ECDSA,GCM,SHA256",WPA2,563
s0845,s0845.hex,x86,"ECDSA,HMAC,RSA","Bluetooth_LE,DTLS,TLS1.3",317
s0846,s0846.hex,mips,"AES,ECDHE,HMAC,SHA1","Bluetooth_CLASSIC,Bluetooth_LE",585
s0847,s0847.hex,x86,"ECDHE,HMAC,RSA,SHA1","Bluetooth_LE,IPSec,WPA3",577
s0848,s0848.hex,powerpc,"ChaCha20,RSA","Bluetooth_LE,TLS1.2,TLS1.3",8257
s0849,s0849.hex,powerpc,"AES,ChaCha20,SHA256",SSH,2097
s0850,s0850.hex,arm64,"ChaCha20,GCM,HMAC,SHA1",Bluetooth_LE,315
s0851,s0851.hex,x86,"ECDSA,SHA256","IPSec,WPA2",557
s0852,s0852.hex,x86_64,"AES,SHA1,SHA256","WPA2,WPA3",306
s0853,s0853.hex,x86_64,"GCM,HMAC","TLS1.2,WPA2,WPA3",562
s0854,s0854.hex,mips,"HMAC,SHA256","DTLS,SSH",4139
s0855,s0855.hex,x86_64,"ChaCha20,SHA1","Bluetooth_LE,SSH,WPA2",572
s0856,s0856.hex,x86_64,"AES,GCM,RSA,SHA256","Bluetooth_CLASSIC,IPSec,WPA2",584
s0857,s0857.hex,mips,"GCM,HMAC","DTLS,TLS1.3",2091
s0858,s0858.hex,x86_64,"ChaCha20,RSA,SHA1",DTLS,303
s0859,s0859.hex,x86_64,"HMAC,RSA,SHA256","DTLS,TLS1.2",564
s0860,s0860.hex,arm64,"AES,GCM,RSA,SHA1","Bluetooth_CLASSIC,Bluetooth_LE,TLS1.3",4174
s0861,s0861.hex,arm,"ChaCha20,RSA,SHA1",WPA2,300
s0862,s0862.hex,mips,"HMAC,RSA,SHA256","TLS1.3,WPA2",562
s0863,s0863.hex,x86,"ECDSA,GCM,HMAC,SHA1","Bluetooth_LE,TLS1.3,WPA3",2114
s0864,s0864.hex,x86_64,"ECDSA,HMAC,SHA1,SHA256","Bluetooth_CLASSIC,Bluetooth_LE,TLS1.3",8277
s0865,s0865.hex,x86,"GCM,HMAC","Bluetooth_LE,TLS1.3,WPA3",311
s0866,s0866.hex,arm,"ChaCha20,ECDSA,GCM",SSH,556
s0867,s0867.hex,arm64,"AES,ECDSA,SHA1","DTLS,WPA2",560
s0868,s0868.hex,x86_64,"ECDHE,HMAC,RSA",TLS1.3,558
s0869,s0869.hex,x86_64,"ECDSA,GCM,HMAC,SHA1",SSH,2096
s0870,s0870.hex,x86_64,"ECDSA,HMAC,SHA256",TLS1.2,305
s0871,s0871.hex,arm,"ECDSA,SHA1",WPA3,293
s0872,s0872.hex,powerpc,"AES,ECDSA","Bluetooth_LE,DTLS,TLS1.2",572
s0873,s0873.hex,arm,"GCM,HMAC,RSA,SHA256","Bluetooth_LE,IPSec",316
s0874,s0874.hex,arm64,"AES,ECDSA,RSA,SHA1",Bluetooth_LE,311
s0875,s0875.hex,arm64,"SHA1,SHA256","TLS1.2,WPA3",303
s0876,s0876.hex,arm,"AES,ChaCha20,SHA256","TLS1.3,WPA3",565
s0877,s0877.hex,x86,"AES,ECDHE,ECDSA,RSA",Bluetooth_CLASSIC,571
s0878,s0878.hex,arm64,"AES,HMAC,RSA",WPA3,297
s0879,s0879.hex,x86_64,"GCM,HMAC","IPSec,WPA3",2092
s0880,s0880.hex,mips,"ChaCha20,ECDSA","WPA2,WPA3",2095
s0881,s0881.hex,mips,"AES,ECDSA,HMAC","Bluetooth_CLASSIC,TLS1.2,WPA3",323
s0882,s0882.hex,powerpc,"ChaCha20,ECDHE,HMAC,RSA","Bluetooth_CLASSIC,TLS1.2",2122
s0883,s0883.hex,x86,"ChaCha20,ECDHE,SHA1,SHA256","IPSec,TLS1.2,WPA2",578
s0884,s0884.hex,arm,"ECDSA,RSA","IPSec,TLS1.2,WPA2",2097
s0885,s0885.hex,powerpc,"GCM,SHA1,SHA256","Bluetooth_LE,WPA2,WPA3",4160
s0886,s0886.hex,powerpc,"AES,ECDSA","TLS1.2,WPA2",559
s0887,s0887.hex,x86_64,"AES,ChaCha20,SHA1,SHA256","Bluetooth_CLASSIC,TLS1.3,WPA2",335
s0888,s0888.hex,powerpc,"ECDSA,GCM,HMAC,SHA256","DTLS,WPA3",313
s0889,s0889.hex,powerpc,"ChaCha20,GCM,HMAC","Bluetooth_CLASSIC,Bluetooth_LE,WPA2",4175
s0890,s0890.hex,powerpc,"GCM,SHA1","IPSec,TLS1.2,WPA2",564
s0891,s0891.hex,mips,"ChaCha20,ECDSA,HMAC,RSA","Bluetooth_CLASSIC,TLS1.3",8263
s0892,s0892.hex,x86,"AES,SHA1",SSH,4130
s0893,s0893.hex,x86_64,"ChaCha20,ECDHE,GCM,RSA","Bluetooth_CLASSIC,IPSec,WPA2",4172
s0894,s0894.hex,x86_64,"ChaCha20,HMAC,RSA,SHA256",Bluetooth_LE,4158
s0895,s0895.hex,x86_64,"ECDSA,GCM","TLS1.2,TLS1.3,WPA3",4149
s0896,s0896.hex,powerpc,"AES,ChaCha20,RSA",Bluetooth_CLASSIC,4156
s0897,s0897.hex,arm,"ECDSA,GCM","Bluetooth_LE,SSH,TLS1.3",2103
s0898,s0898.hex,mips,"AES,ChaCha20,ECDSA,GCM","DTLS,TLS1.3,WPA3",4158
s0899,s0899.hex,arm,"ECDHE,HMAC","Bluetooth_CLASSIC,Bluetooth_LE",319
s0900,s0900.hex,arm64,"ECDHE,SHA256","SSH,WPA3",557
s0901,s0901.hex,arm64,"ECDHE,ECDSA","Bluetooth_LE,TLS1.3,WPA3",316
s0902,s0902.hex,x86,"AES,ECDHE,SHA256","TLS1.2,WPA3",306
s0903,s0903.hex,x86,"ECDSA,HMAC,SHA256",Bluetooth_CLASSIC,2105
s0904,s0904.hex,arm,"ECDHE,RSA",WPA3,548
s0905,s0905.hex,arm,"ChaCha20,ECDSA",WPA3,2089
s0906,s0906.hex,powerpc,"ECDHE,GCM,RSA","Bluetooth_CLASSIC,Bluetooth_LE,DTLS",8267
s0907,s0907.hex,powerpc,"ECDSA,RSA,SHA256","SSH,TLS1.3,WPA2",2106
s0908,s0908.hex,mips,"ECDHE,SHA1,SHA256","Bluetooth_LE,TLS1.3",316
s0909,s0909.hex,x86,"ECDHE,ECDSA,SHA1",TLS1.3,557
s0910,s0910.hex,x86_64,"AES,ECDSA","DTLS,WPA3",8236
s0911,s0911.hex,x86,"GCM,HMAC,RSA,SHA256","Bluetooth_CLASSIC,DTLS,IPSec",326
s0912,s0912.hex,arm,"ECDHE,ECDSA,RSA",DTLS,554
s0913,s0913.hex,powerpc,"AES,ECDHE,HMAC,SHA256","SSH,TLS1.2",2106
s0914,s0914.hex,arm,"AES,ChaCha20,ECDHE,ECDSA","Bluetooth_LE,IPSec",8257
s0915,s0915.hex,x86_64,"ChaCha20,ECDHE,GCM","DTLS,IPSec,TLS1.3",8253
s0916,s0916.hex,mips,"AES,ECDHE,SHA1","Bluetooth_CLASSIC,TLS1.3",4158
s0917,s0917.hex,powerpc,"ChaCha20,ECDHE,RSA,SHA1",WPA2,8246
s0918,s0918.hex,powerpc,"HMAC,RSA","IPSec,TLS1.3,WPA2",2100
s0919,s0919.hex,arm64,"AES,ECDHE","DTLS,TLS1.2",2093
s0920,s0920.hex,x86_64,"AES,ChaCha20","Bluetooth_LE,TLS1.2",569
s0921,s0921.hex,mips,"AES,ChaCha20,ECDSA","TLS1.2,WPA3",4149
s0922,s0922.hex,x86_64,"ECDHE,SHA256",TLS1.2,556
s0923,s0923.hex,arm,"AES,ECDSA,RSA,SHA256","IPSec,TLS1.2",311
s0924,s0924.hex,arm,"AES,SHA1","Bluetooth_LE,WPA3",560
s0925,s0925.hex,powerpc,"AES,ECDHE",Bluetooth_CLASSIC,4149
s0926,s0926.hex,powerpc,"ChaCha20,GCM,SHA256","SSH,TLS1.2,WPA3",573
s0927,s0927.hex,arm,"AES,ChaCha20,GCM,SHA1","DTLS,TLS1.2,WPA2",572
s0928,s0928.hex,arm64,"ChaCha20,ECDSA,HMAC,RSA","Bluetooth_CLASSIC,SSH",2117
s0929,s0929.hex,x86_64,"ChaCha20,SHA256","Bluetooth_LE,IPSec",571
s0930,s0930.hex,x86_64,"ChaCha20,GCM,SHA1",Bluetooth_LE,311
s0931,s0931.hex,arm64,"ECDHE,ECDSA,SHA256",TLS1.2,561
s0932,s0932.hex,x86_64,"ChaCha20,ECDHE","SSH,WPA2",304
s0933,s0933.hex,arm,"ECDSA,GCM,SHA1","IPSec,SSH",4142
s0934,s0934.hex,x86,"GCM,SHA256","Bluetooth_CLASSIC,IPSec,WPA2",8253
s0935,s0935.hex,x86,"AES,RSA","Bluetooth_LE,SSH",302
s0936,s0936.hex,arm64,"ECDHE,SHA256","Bluetooth_LE,DTLS,SSH",570
s0937,s0937.hex,arm64,"SHA1,SHA256","DTLS,IPSec,SSH",306
s0938,s0938.hex,x86,"AES,ECDSA,HMAC,SHA256","Bluetooth_CLASSIC,TLS1.2,WPA3",4169
s0939,s0939.hex,arm,"GCM,HMAC,SHA256",WPA3,2090
s0940,s0940.hex,arm64,"ECDHE,ECDSA,SHA1","SSH,WPA2",4145
s0941,s0941.hex,arm,"AES,ChaCha20,ECDSA","WPA2,WPA3",306
s0942,s0942.hex,powerpc,"ChaCha20,GCM,HMAC,RSA","DTLS,SSH,WPA2",4157
s0943,s0943.hex,x86,"AES,GCM","Bluetooth_CLASSIC,Bluetooth_LE,SSH",576
s0944,s0944.hex,x86_64,"ChaCha20,ECDHE,RSA,SHA1","Bluetooth_CLASSIC,WPA2",327
s0945,s0945.hex,arm64,"ChaCha20,ECDSA,SHA256","TLS1.2,WPA3",2105
s0946,s0946.hex,x86,"ChaCha20,ECDSA,RSA","Bluetooth_LE,DTLS,SSH",318
s0947,s0947.hex,x86,"RSA,SHA1",DTLS,547
s0948,s0948.hex,arm64,"AES,ChaCha20","IPSec,WPA3",4143
s0949,s0949.hex,x86,"AES,GCM,HMAC,RSA","Bluetooth_LE,TLS1.2",570
s0950,s0950.hex,arm64,"AES,RSA","Bluetooth_CLASSIC,SSH,TLS1.3",572
s0951,s0951.hex,arm,"ChaCha20,SHA1","Bluetooth_LE,DTLS,WPA2",2106
s0952,s0952.hex,powerpc,"AES,GCM,RSA,SHA256","IPSec,WPA2,WPA3",572
s0953,s0953.hex,powerpc,"AES,ECDHE,GCM,HMAC",Bluetooth_CLASSIC,4158
s0954,s0954.hex,powerpc,"AES,ChaCha20,ECDHE,HMAC",TLS1.2,2104
s0955,s0955.hex,arm,"AES,GCM","IPSec,TLS1.3,WPA3",303
s0956,s0956.hex,powerpc,"ECDSA,GCM,RSA,SHA1","Bluetooth_LE,WPA3",574
s0957,s0957.hex,arm,"ChaCha20,SHA256",DTLS,554
s0958,s0958.hex,mips,"ChaCha20,ECDHE,SHA1",TLS1.3,8241
s0959,s0959.hex,mips,"GCM,HMAC,RSA","Bluetooth_CLASSIC,DTLS",314
s0960,s0960.hex,x86_64,"ECDSA,HMAC,SHA1","DTLS,IPSec",563
s0961,s0961.hex,arm64,"ChaCha20,HMAC,RSA,SHA256",SSH,2100
s0962,s0962.hex,x86,"AES,ChaCha20","IPSec,WPA2,WPA3",2098
s0963,s0963.hex,x86_64,"AES,ECDSA,SHA1","Bluetooth_LE,SSH,TLS1.3",575
s0964,s0964.hex,mips,"ChaCha20,ECDHE,GCM,RSA","Bluetooth_CLASSIC,SSH",2115
s0965,s0965.hex,powerpc,"AES,ECDSA,SHA256","IPSec,WPA2,WPA3",314
s0966,s0966.hex,x86_64,"ChaCha20,ECDHE,ECDSA,GCM","TLS1.2,WPA3",573
s0967,s0967.hex,arm64,"ECDHE,RSA,SHA1,SHA256",Bluetooth_CLASSIC,575
s0968,s0968.hex,x86,"ChaCha20,ECDHE,ECDSA","IPSec,SSH,TLS1.2",315
s0969,s0969.hex,x86_64,"GCM,HMAC,RSA,SHA256","Bluetooth_CLASSIC,IPSec,WPA2",8265
s0970,s0970.hex,powerpc,"GCM,SHA256",TLS1.3,299
s0971,s0971.hex,powerpc,"RSA,SHA256",WPA2,553
s0972,s0972.hex,arm64,"ECDHE,ECDSA,RSA","TLS1.3,WPA2,WPA3",4152
s0973,s0973.hex,powerpc,"ECDSA,GCM,RSA,SHA256",TLS1.2,2101
s0974,s0974.hex,arm,"ChaCha20,RSA",TLS1.3,2089
s0975,s0975.hex,x86,"ECDHE,ECDSA,GCM,HMAC","Bluetooth_CLASSIC,Bluetooth_LE,TLS1.2",336
s0976,s0976.hex,powerpc,"ChaCha20,ECDSA,GCM,SHA256",SSH,311
s0977,s0977.hex,arm64,"ChaCha20,HMAC,RSA,SHA256","Bluetooth_CLASSIC,TLS1.3",8265
s0978,s0978.hex,powerpc,"HMAC,RSA","DTLS,SSH,WPA2",304
s0979,s0979.hex,mips,"AES,ChaCha20,HMAC,SHA256",TLS1.3,4150
s0980,s0980.hex,arm64,"AES,GCM,RSA,SHA1","DTLS,IPSec",563
s0981,s0981.hex,arm64,"ECDHE,GCM,HMAC,SHA256","Bluetooth_CLASSIC,DTLS,SSH",328
s0982,s0982.hex,x86,"ChaCha20,ECDSA","Bluetooth_CLASSIC,Bluetooth_LE,SSH",583
s0983,s0983.hex,arm,"AES,GCM,HMAC,SHA256","Bluetooth_LE,SSH,TLS1.3",577
s0984,s0984.hex,arm64,"ECDHE,ECDSA,GCM,RSA","SSH,TLS1.3,WPA2",315
s0985,s0985.hex,x86_64,"ECDSA,GCM,SHA256",TLS1.3,304
s0986,s0986.hex,x86,"AES,HMAC,SHA1,SHA256","IPSec,TLS1.3",311
s0987,s0987.hex,arm64,"AES,ECDHE,ECDSA,SHA1",WPA3,561
s0988,s0988.hex,mips,"AES,HMAC,SHA256","Bluetooth_CLASSIC,Bluetooth_LE",325
s0989,s0989.hex,mips,"ECDHE,GCM,SHA1,SHA256",DTLS,561
s0990,s0990.hex,mips,"ECDSA,GCM,HMAC","SSH,TLS1.3",8240
s0991,s0991.hex,mips,"AES,HMAC,RSA,SHA256","Bluetooth_LE,TLS1.3,WPA2",2115
s0992,s0992.hex,arm,"AES,HMAC,SHA256","TLS1.2,TLS1.3,WPA2",4152
s0993,s0993.hex,powerpc,"ECDSA,RSA","Bluetooth_CLASSIC,DTLS,TLS1.2",577
s0994,s0994.hex,powerpc,"ECDHE,HMAC",Bluetooth_CLASSIC,4150
s0995,s0995.hex,x86_64,"AES,ECDSA,GCM,SHA1",Bluetooth_CLASSIC,317
s0996,s0996.hex,x86,"AES,ECDSA,GCM,SHA256","Bluetooth_LE,DTLS,IPSec",322
s0997,s0997.hex,arm,"AES,ECDHE,GCM,RSA","Bluetooth_CLASSIC,IPSec,WPA3",580
s0998,s0998.hex,x86_64,"AES,ECDHE,RSA","Bluetooth_CLASSIC,SSH",2108
s0999,s0999.hex,arm,"ECDHE,RSA","Bluetooth_CLASSIC,Bluetooth_LE,WPA3",323
s1000,s1000.hex,powerpc,"AES,ECDSA,HMAC","Bluetooth_CLASSIC,TLS1.2,WPA3",4166
s1001,s1001.hex,x86_64,"ChaCha20,ECDSA,HMAC","Bluetooth_LE,SSH,TLS1.2",8260
s1002,s1002.hex,x86_64,"ECDSA,RSA","Bluetooth_CLASSIC,IPSec,SSH",4158
s1003,s1003.hex,powerpc,"ChaCha20,ECDHE,SHA1",Bluetooth_CLASSIC,319
s1004,s1004.hex,powerpc,"HMAC,SHA1",SSH,8231
s1005,s1005.hex,x86,"ChaCha20,GCM,HMAC,RSA",WPA2,4144
s1006,s1006.hex,arm,"ChaCha20,ECDHE,GCM,HMAC",DTLS,306
s1007,s1007.hex,x86,"ChaCha20,ECDSA","DTLS,TLS1.2",4144
s1008,s1008.hex,mips,"GCM,RSA","Bluetooth_LE,DTLS,TLS1.2",2103
s1009,s1009.hex,powerpc,"AES,ECDSA,GCM,HMAC","Bluetooth_CLASSIC,TLS1.3,WPA2",330
s1010,s1010.hex,x86,"AES,SHA1",TLS1.2,293
s1011,s1011.hex,arm,"ChaCha20,ECDSA,SHA256",WPA3,304
s1012,s1012.hex,arm64,"ChaCha20,ECDSA,HMAC,SHA256","Bluetooth_LE,SSH",4163
s1013,s1013.hex,powerpc,"AES,SHA1","TLS1.3,WPA3",558
s1014,s1014.hex,x86_64,"AES,ECDHE,RSA",WPA2,4139
s1015,s1015.hex,arm,"ChaCha20,ECDSA,GCM,RSA","IPSec,SSH",4150
s1016,s1016.hex,powerpc,"ECDHE,GCM,SHA256","DTLS,TLS1.2",4150
s1017,s1017.hex,mips,"AES,ChaCha20,GCM,SHA1",Bluetooth_LE,569
s1018,s1018.hex,mips,"AES,ECDHE,SHA256","TLS1.2,TLS1.3",565
s1019,s1019.hex,x86_64,"AES,ChaCha20,SHA1,SHA256","Bluetooth_CLASSIC,DTLS,TLS1.2",2127
s1020,s1020.hex,arm,"ChaCha20,SHA256","IPSec,TLS1.3,WPA3",4151
s1021,s1021.hex,arm,"GCM,HMAC,RSA","DTLS,SSH",299
s1022,s1022.hex,powerpc,"HMAC,SHA1",SSH,2087
s1023,s1023.hex,arm,"ECDHE,SHA256",DTLS,8231
s1024,s1024.hex,x86,"ChaCha20,RSA,SHA256",Bluetooth_CLASSIC,571
s1025,s1025.hex,arm64,"ECDSA,SHA1","Bluetooth_CLASSIC,DTLS,IPSec",319
s1026,s1026.hex,x86_64,"RSA,SHA1,SHA256",Bluetooth_LE,309
s1027,s1027.hex,powerpc,"ECDHE,RSA,SHA256","SSH,WPA2,WPA3",312
s1028,s1028.hex,arm,"ECDHE,ECDSA,RSA,SHA256","IPSec,TLS1.2,TLS1.3",576
s1029,s1029.hex,x86,"ECDSA,RSA","Bluetooth_LE,SSH",304
s1030,s1030.hex,powerpc,"HMAC,SHA1",DTLS,4136
s1031,s1031.hex,mips,"AES,ChaCha20,SHA256","Bluetooth_LE,DTLS",572
s1032,s1032.hex,x86_64,"AES,ECDSA,HMAC,RSA","IPSec,TLS1.3,WPA2",573
s1033,s1033.hex,mips,"AES,ChaCha20,SHA1","Bluetooth_CLASSIC,Bluetooth_LE,SSH",2123
s1034,s1034.hex,powerpc,"AES,GCM,RSA,SHA1","Bluetooth_CLASSIC,DTLS,TLS1.2",4168
s1035,s1035.hex,mips,"ECDSA,HMAC,RSA","DTLS,WPA2",303
s1036,s1036.hex,mips,"ChaCha20,GCM,RSA,SHA1",Bluetooth_CLASSIC,574
s1037,s1037.hex,arm64,"AES,ChaCha20,HMAC,RSA",Bluetooth_CLASSIC,575
s1038,s1038.hex,mips,"AES,ECDHE,RSA,SHA256",TLS1.3,8242
s1039,s1039.hex,x86_64,"ECDHE,ECDSA,GCM,SHA1",Bluetooth_CLASSIC,319
s1040,s1040.hex,powerpc,"AES,ChaCha20,ECDHE","SSH,TLS1.3,WPA3",2108
s1041,s1041.hex,powerpc,"ECDSA,RSA","IPSec,SSH,WPA3",4146
s1042,s1042.hex,arm64,"HMAC,SHA1","IPSec,SSH",4139
s1043,s1043.hex,arm64,"AES,SHA1","Bluetooth_LE,WPA2",4146
s1044,s1044.hex,arm64,"ECDSA,GCM","Bluetooth_LE,SSH,WPA2",2103
s1045,s1045.hex,arm,"AES,ECDHE","Bluetooth_CLASSIC,DTLS,SSH",314
s1046,s1046.hex,x86,"ECDHE,RSA",WPA2,292
s1047,s1047.hex,x86_64,"ECDSA,GCM,HMAC,SHA256","Bluetooth_CLASSIC,SSH",324
s1048,s1048.hex,arm,"ChaCha20,ECDHE,SHA1",Bluetooth_CLASSIC,315
s1049,s1049.hex,arm64,"ChaCha20,ECDHE,HMAC,SHA256","IPSec,SSH,WPA2",321
s1050,s1050.hex,x86,"HMAC,RSA,SHA1,SHA256","Bluetooth_CLASSIC,Bluetooth_LE,SSH",333
s1051,s1051.hex,x86_64,"ChaCha20,GCM,SHA1,SHA256","Bluetooth_LE,TLS1.3",2117
s1052,s1052.hex,x86_64,"AES,SHA256","DTLS,SSH,WPA2",305
s1053,s1053.hex,x86_64,"HMAC,RSA",Bluetooth_LE,4142
s1054,s1054.hex,x86,"ECDSA,RSA","Bluetooth_CLASSIC,DTLS",2102
s1055,s1055.hex,x86_64,"ECDHE,ECDSA,SHA1",WPA2,4142
s1056,s1056.hex,powerpc,"ECDHE,ECDSA,HMAC,SHA256","SSH,WPA3",4154
s1057,s1057.hex,x86_64,"ChaCha20,GCM,HMAC,SHA256","Bluetooth_CLASSIC,IPSec,SSH",333
s1058,s1058.hex,powerpc,"AES,ECDSA,HMAC","Bluetooth_LE,DTLS",314
s1059,s1059.hex,x86,"AES,GCM,SHA1",Bluetooth_LE,303
s1060,s1060.hex,mips,"ECDSA,HMAC",Bluetooth_CLASSIC,8243
s1061,s1061.hex,powerpc,"ChaCha20,ECDHE,RSA,SHA1","DTLS,WPA3",8251
s1062,s1062.hex,arm64,"ChaCha20,GCM,RSA",WPA2,8237
s1063,s1063.hex,mips,"ECDHE,GCM","IPSec,TLS1.3,WPA3",4146
s1064,s1064.hex,x86,"RSA,SHA256",SSH,292
s1065,s1065.hex,x86,"ECDHE,ECDSA,HMAC","TLS1.2,TLS1.3",2100
s1066,s1066.hex,arm,"ChaCha20,SHA1",Bluetooth_CLASSIC,8245
